Updated course-wise information of admission in the first year for the session 2025-26 in private universities,,,,,,
Name of the university,Name of the Constituent Unit,S.No.,Name of the course,Total sanctioned seat capacity in the first year,Total number of students admitted until date 06/08/25,Number of vacant seats
People's University,SOPR (Pharmacy),1,B.Pharm,100,100,0
,,2,B.Pharm. Lateral,,,0
,,3,M.Pharm,15,15,0
,,4,D.Pharm,60,16,44
,SORT (Engineering),5,B.Tech. (Biotech) Ist Year,120,73,47
,,6,B.Tech. (CSE) Ist Year,90,6,84
,,7,B.Tech. (EE) Ist Year,30,,30
,,8,B.Tech. (ME) Ist Year,30,1,29
,,9,B.Tech. (CE) Ist Year,30,3,27
,,10,B.Tech. (CSE) lateral,73,,73
,,11,B.Tech. (EE) lateral,30,3,27
,,12,B.Tech. (ME) lateral,23,4,19
,,13,B.Tech. (CE) lateral,25,1,24
,,14,B.Tech. (Biotech) lateral,22,,22
,,15,M.Tech.-Thermal Engg.,18,1,17
,,16,M.Tech.-CSE,18,2,16
,,17,M.Tech.-CTM,18,,18
,,18,M.Tech.-Urban Planning,18,1,17
,,19,M.Tech.-Structural Engg.,18,3,15
,,20,Diploma in Engg.- (CSE)-Ist Year,30,5,25
,,21,Diploma in Engg.- (EE)-Ist Year,60,12,48
,,22,Diploma in Engg.- (ME)-Ist Year,60,12,48
,,23,Diploma in Engg.- (CE)-Ist Year,60,4,56
,,24,Diploma in Engg.- (EEE)-Ist Year,30,8,22
,,25,Diploma in Engg.- (CSE)-Lateral,14,,14
,,26,Diploma in Engg.- (EE)-Lateral,48,14,34
,,27,Diploma in Engg.- (ME)-Lateral,47,9,38
,,28,Diploma in Engg.- (CE)-Lateral,54,1,53
,,29,Diploma in Engg.- (EEE)-Lateral,19,4,15
,PIMR (Management),30,BBA,60,31,29
,,31,B.Com.,30,19,11
,,32,MBA,90,19,71
,,33,MBA(HA),30,14,16
,,34,M.Com.,18,0,18
,PILS (Law),35,LLM (One Year),40,10,30
,,36,LLM (Two Years),40,11,29
,,37,BA-LLB,60,42,18
,,38,LLB,60,5,55
,PIHM (Hotel Mgmt),39,BHMCT,60,11,49
,,40,BBA(HHA),60,17,43
,,41,PGDHMCT,30,6,24
,,42,UGDHMCT,30,1,29
,DHSS,43,BA,30,15,15
,,44,MA,18,3,15
,CSRD ,45,B.Sc. Biotechnology,30,30,0
,,46,M.Sc. Biotechnology,10,4,6
,,47,M.Sc. Microbiology,10,0,10
,Dental PCDS,49,BDS(Bachelor of Dental Surgery) Dental,100,0,100
,,50,MDS(Master of Dental Surgery) CONSERVTIVE DENTISTRY & ENDODONTICS,3,0,3
,,51,MDS(Master of Dental Surgery) ORAL & MAXILLOFACIAL SURGERY,3,0,3
,,52,MDS(Master of Dental Surgery) ORAL MEDICINE & RADIOLOGY,3,0,3
,,53,MDS(Master of Dental Surgery) ORTHOFONTICS & DENTO OF ACIAL ORTHOPEDICS,3,0,3
,,54,MDS(Master of Dental Surgery) PAEDODONTICS & PREVENTIVE DENTISTRY,3,0,3
,,55,MDS(Master of Dental Surgery) PERIODONTOLOGY,3,0,3
,,56,MDS(Master of Dental Surgery) PROSTHODONTICS & CROWN BRIDGE,5,0,5
,,57,MDS(Master of Dental Surgery) PUBLIC HEALTH DENTISTRY,3,0,3
,,58,DIPLOMA 2 Years Dental Hygienist,15,0,15
,,59,DIPLOMA 2 Years Dental Mechanics,15,0,15
,Medical PCMS,60,MSc (Medical) Anatomy,20,0,20
,,61,MBBS(Bachelor of Medicine and Bachelor of Surgery) Medical,250,0,250
,,62,Master of Surgery ENT (Otolaryngologists),3,0,3
,,63,Master of Surgery Gen Surgery,10,0,10
,,64,Master of Surgery Obst.Gynecology,9,0,9
,,65,Master of Surgery Ophthalmology,3,0,3
,,66,Master of Surgery Orthopedics,7,0,7
,,67,MD (Doctorate of Medicine) Emergency Medicine,5,0,5
