"Madhya Pradesh Private University Regulatory Commission, Bhopal",,,,,,,,
University Name: People's University ,,Information regarding courses conducted by the private university in session 2024-25,,,,,,
S.No.,"Name of the conducted course (B.Sc., B.A., M.Sc., etc.)",Course level (UG/PG/Diploma/Ph.D./Other),Course type (Semester Wise/ Yearly),"Faculty (Art/Science/Commerce, etc.)",Year of commencement of the course (2010-11 …etc),Total number of approved seats for admission in first year,Number of students admitted in the first year in session 2024-2025,Total number of students studying in the university (All Sem/Year)
1,Bachelor of Medicine and Bachelor of Surgery (MBBS),UG (5.5 Years),Yearly,Medical,2010-11,250,250,1250
2,MS (Anatomy),PG (3 Years),Yearly,Medical,2015-16,2,1,1
3,MD (Physiology),PG (3 Years),Yearly,Medical,2015-16,2,0,0
4,MD (Biochemistry),PG (3 Years),Yearly,Medical,2015-16,2,0,0
5,MD (Pharmacology),PG (3 Years),Yearly,Medical,2015-16,2,0,0
6,MD (Microbiology),PG (3 Years),Yearly,Medical,2015-16,3,2,6
7,MD (Pathology),PG (3 Years),Yearly,Medical,2015-16,11,5,5
8,MD (Community Medicine),PG (3 Years),Yearly,Medical,2015-16,4,2,4
9,MD (Forensic Medicine),PG (3 Years),Yearly,Medical,2015-16,3,3,3
10,MD (General Medicine),PG (3 Years),Yearly,Medical,2015-16,8,8,8
11,MD (Respiratory Medicine),PG (3 Years),Yearly,Medical,2015-16,4,4,4
12,MD (DVL),PG (3 Years),Yearly,Medical,2015-16,5,5,5
13,MD (Psychiatry),PG (3 Years),Yearly,Medical,2015-16,3,3,3
14,MD (Paediatrics),PG (3 Years),Yearly,Medical,2015-16,4,4,4
15,MS (General Surgery),PG (3 Years),Yearly,Medical,2015-16,10,10,10
16,MS (Orthopedics),PG (3 Years),Yearly,Medical,2015-16,7,7,7
17,MS (Otorhinolaryngology),PG (3 Years),Yearly,Medical,2015-16,3,3,3
18,MS (Opthalmology),PG (3 Years),Yearly,Medical,2015-16,3,3,3
19,MS (Obst. And Gynecology),PG (3 Years),Yearly,Medical,2015-16,9,9,9
20,MD (Anesthesia),PG (3 Years),Yearly,Medical,2015-16,8,8,8
21,MD (Radio-Diagnosis),PG (3 Years),Yearly,Medical,2015-16,4,4,4
22,MD (Emergency Medicine),PG (3 Years),Yearly,Medical,2015-16,5,5,5
23,DM (Endocrinology),PG (3 Years),Yearly,Medical,2015-16,2,2,4
24,M.Sc. Medical Biochemistry,PG (2 Years),Yearly,Medical,2015-16,20,1,1
25,M.Sc. Medical Microbiology,PG (2 Years),Yearly,Medical,2015-16,,0,0
26,M.Sc. Medical Anatomy,PG (2 Years),Yearly,Medical,2015-16,20,1,1
27,M.Sc. Medical Physiology,PG (2 Years),Yearly,Medical,2015-16,,0,0
28,M.Sc. Medical Pharmacology,PG (2 Years),Yearly,Medical,2015-16,,0,0
29,Bachelor of Dental Surgery (PCDS&RC),UG (5 Years),Yearly,Medical,2010-11,100,100,100
30,MDS Conservative Dentistry (PCDS&RC),PG (3 Years),Yearly,Medical,2015-16,3,5,5
31,MDS Orthodontics (PCDS&RC),PG (3 Years),Yearly,Medical,2015-16,3,5,5
32,MDS Periodontics (PCDS&RC),PG (3 Years),Yearly,Medical,2015-16,3,3,3
33,MDS Public Health Dentistry (PCDS&RC),PG (3 Years),Yearly,Medical,2015-16,3,2,2
34,MDS Oral Medicine & Radiology (PCDS&RC),PG (3 Years),Yearly,Medical,2015-16,3,3,3
35,MDS Oral & Maxillofacial Surgery (PCDS&RC),PG (3 Years),Yearly,Medical,2015-16,3,5,5
36,MDS Pedodontics (PCDS&RC),PG (3 Years),Yearly,Medical,2015-16,3,3,3
37,MDS Prosthodontics (PCDS&RC),PG (3 Years),Yearly,Medical,2015-16,5,5,5
38,Dental Hygienist,Diploma (2 Years),Yearly,Medical,2015-16,15,15,29
39,Dental Mechanic,Diploma (2 Years),Yearly,Medical,2015-16,15,4,6
40,Bachelor of Dental Surgery (PDA),UG (5 Years),Yearly,Medical,2010-11,100,100,100
41,MDS Conservative Dentistry (PDA),PG (3 Years),Yearly,Medical,2015-16,5,5,5
42,MDS Oral & Maxillofacial Surgery (PDA),PG (3 Years),Yearly,Medical,2015-16,5,5,5
43,MDS Prosthodontics (PDA),PG (3 Years),Yearly,Medical,2015-16,5,5,5
44,MDS Orthodontics (PDA),PG (3 Years),Yearly,Medical,2015-16,5,5,5
45,MDS Periodontics (PDA),PG (3 Years),Yearly,Medical,2015-16,3,3,3
46,MDS Public Health Dentistry (PDA),PG (3 Years),Yearly,Medical,2015-16,3,3,3
47,MDS Oral Medicine & Radiology (PDA),PG (3 Years),Yearly,Medical,2015-16,3,3,3
48,MDS Pedodontics (PDA),PG (3 Years),Yearly,Medical,2015-16,3,3,3
