Category,Qualification,Program Code,Program Name,Counselor Name,Counselor Email,Institution,Program Type,Actions
School OF Engineering,UG,2SE,"""B.Tech -DTOD  ( CSE Big Data Analytics)""",Counselor 2,btech@jguni.in,JG University ,Regular ,
School of Computing,UG,4C,BCA / BCA (Hons)/ iMCA,Counselor 4,computing@jguni.in,JG University ,Regular ,
School of Computing,UG,4C,BCA /BCA (Hons)/ iMCA - Dual Specialization - Full Stack & Al,Counselor 4,computing@jguni.in,JG University ,Regular ,
School of Computing,PG,4C,MCA ,Counselor 4,computing@jguni.in,JG University ,Regular ,
School of Computing,UG,4C,iMSc (IT) (Integrated BSc (IT)+ MSc IT),Counselor 4,computing@jguni.in,JG University ,Regular ,
School of Engineering,UG,2SE,B. Tech - Computer Science & Engineering,Counselor 2,btech@jguni.in,JG University ,Regular ,
School of Engineering,UG,2SE,"""B. Tech - DTOD (Computer Engineering)""",Counselor 2,btech@jguni.in,JG University ,Regular ,
School of Engineering,UG,2SE,"""B. Tech -DTOD  ( Computer Science & Engineering)""",Counselor 2,btech@jguni.in,JG University ,Regular ,
School of Engineering,UG,2SE,"""B. Tech -DTOD ( Information Technology)""",Counselor 2,btech@jguni.in,JG University ,Regular ,
School of Engineering,UG,2SE,"""B.Tech - DTOD  (Artificial Intelligence and Data Science)""",Counselor 2,btech@jguni.in,JG University ,Regular ,
School of Engineering,UG,2SE,"""B.Tech - DTOD  (Artificial Intelligence and Machine Learning)""",Counselor 2,btech@jguni.in,JG University ,Regular ,
School of Engineering,UG,2SE,"""B.Tech -DTOD ( CSE Artificial Intelligence)""",Counselor 2,btech@jguni.in,JG University ,Regular ,
School of Engineering,UG,2SE,"""B.Tech-DTOD  (CSE Artificial Intelligence and Machine Learning)""",Counselor 2,btech@jguni.in,JG University ,Regular ,
School of Engineering,UG,2SE,B. Tech - Computer Engineering,Counselor 2,btech@jguni.in,JG University ,Regular ,
School of Engineering,UG,2SE,B. Tech - Information Technology,Counselor 2,btech@jguni.in,JG University ,Regular ,
School of Engineering,UG,2SE,B.Tech - Artificial Intelligence and Data Science,Counselor 2,btech@jguni.in,JG University ,Regular ,
School of Engineering,UG,2SE,B.Tech - Artificial Intelligence and Machine Learning,Counselor 2,btech@jguni.in,JG University ,Regular ,
School of Engineering ,UG,2SE,B.Tech - CSE Artificial Intelligence,Counselor 2,btech@jguni.in,JG University ,Regular ,
School of Engineering ,UG,2SE,B.Tech - CSE Big Data Analytics,Counselor 2,btech@jguni.in,JG University ,Regular ,
School of Engineering ,UG,2SE,B.Tech-CSE Artificial Intelligence and Machine Learning,Counselor 2,btech@jguni.in,JG University ,Regular ,
School of Engineering(Diploma),UG,5D, Integrated B. Tech in Computer Engineering,Counselor 5,diploma@jguni.in,JG University ,Regular ,
School of Engineering(Diploma),UG ,5D, Integrated B.Tech in Computer Science & Engineering,Counselor 5,diploma@jguni.in,JG University ,Regular ,
School of Engineering(Diploma),UG,5D, Integrated B.Tech in Information Technology ,Counselor 5,diploma@jguni.in,JG University ,Regular ,
School of Engineering(Diploma),UG,5D,Integrated B.Tech in Al & Machine Learning,Counselor 5,diploma@jguni.in,JG University ,Regular ,
School of Investigative and Applied Science,PG,6IAS,M.Sc- Clinical Embryology & Assisted Reproductive Technology,Counselor 6,sias@jguni.in,JG University ,Regular ,
School of Investigative and Applied Science,PG,6IAS,M.Sc- Cyber & Digital Forensic,Counselor 6,sias@jguni.in,JG University ,Regular ,
School of Investigative and Applied Science,PG,6IAS,M.Sc- Forensic Science & Technology,Counselor 6,sias@jguni.in,JG University ,Regular ,
School of Investigative and Applied Science ,UG,6IAS,B.Sc. (Hons) / iMSc- Forensic Science & Technology,Counselor 6,sias@jguni.in,JG University ,Regular ,
School of Investigative and Applied Science ,UG,6IAS,B.Sc. / BSc (Hons) / iMSc -Clinical Embryology & Reproductive Biology,Counselor 6,sias@jguni.in,JG University ,Regular ,
School of Investigative and Applied Science ,UG,6IAS,B.Sc. / BSc (Hons) / iMSc -Cyber & Digital Forensic,Counselor 6,sias@jguni.in,JG University ,Regular ,
School of Investigative and Applied Science ,UG ,6IAS,"B.Sc. / BSc (Hons) / iMSc- Food, Nutrition & Lifestyle Science",Counselor 6,sias@jguni.in,JG University ,Regular ,
School of Investigative and Applied Science ,UG,6IAS,B.Sc. / BSc (Hons) / iMSc- Mathematics & Computing,Counselor 6,sias@jguni.in,JG University ,Regular ,
School of Investigative and Applied Science ,UG,6IAS,B.Sc. / BSc (Hons) / iMSc- Quantum Computing,Counselor 6,sias@jguni.in,JG University ,Regular ,
School of Management,PG,3M,MBA ,Counselor 3,management@jguni.in,JG University ,Regular ,
School of Management,PG,3M,"Masters - Aviation, Hospitality & Travel Management",Counselor 3,management@jguni.in,JG University ,Regular ,
School of Management,PG,3M,Masters in International Trade and Finance,Counselor 3,management@jguni.in,JG University ,Regular ,
School of Management ,UG,3M,BBA (Hon)/ iMBA - Global Business Management,Counselor 3,management@jguni.in,JG University ,Regular ,
School of Management ,UG,3M,BBA (Hon)/ iMBA - International Trade & Finance,Counselor 3,management@jguni.in,JG University ,Regular ,
School of Management ,UG,3M,BBA(Hons) /iMBA ,Counselor 3,management@jguni.in,JG University ,Regular ,
School of Management ,UG,3M,"BBA/(BBA Hons)/iMBA - BFSI (Banking, Finance Services & Insurance) ",Counselor 3,management@jguni.in,JG University ,Regular ,
School of Management ,UG,3M,BBA/BBA (Hons) with ACCA,Counselor 3,management@jguni.in,JG University ,Regular ,
School of Management ,UG,3M,BBA/BBA Hons/iMBA - Applied Technology (Management + Artificial Intelligence),Counselor 3,management@jguni.in,JG University ,Regular ,
School of Management ,UG ,3M,BBA/BBA Hons/iMBA - Public Administration (UPSC & GPSC Curriculum),Counselor 3,management@jguni.in,JG University ,Regular ,
School of Management ,UG,3M,BBA/BBA Hons/iMBA- Event Management,Counselor 3,management@jguni.in,JG University ,Regular ,
School of Science and Technology,UG,1ST,iMSc (IT )-Cloud & Application Development,Counselor 1,sst@jguni.in,JG University,Regular,
School of Science and Technology,UG,1ST,iMSc (IT )-Fintech,Counselor 1,sst@jguni.in,JG University ,Regular ,
School of Science and Technology,UG,1ST,iMSc (IT)- Data Science & Analytics,Counselor 1,sst@jguni.in,JG University ,Regular ,
School of Science and Technology,UG,1ST,iMSc (IT)-IMS & Cyber Security,Counselor 1,sst@jguni.in,JG University,Regular ,
School of Science and Technology ,UG,1ST,"iMSc (IT)-Animation, VFX & Game Design",Counselor 1,sst@jguni.in,JG University ,Regular ,
School of management ,UG,3M,"BBA/BBA Hons/iMBA- Entrepreneurship, Family Business & Sustainability ",Counselor 3,management@jguni.in,JG University ,Regular ,
School of management ,UG,3M,"iMBA - Aviation, Hospitality & Travel Management ",Counselor 3,management@jguni.in,JG University ,Regular ,
